epc,read_events,first_seen,last_seen,strongest_rssi,likely_demo_e280,recommendation
A02A061028A201206A020802,5,2026-04-28 21:49:33.376968,2026-05-14 19:03:42.795503,-51,False,Review with EPC decoder and map to SKU/GTIN if real
A02A061028A201214A022002,5,2026-04-28 21:49:33.378487,2026-05-14 19:03:42.997742,-43,False,Review with EPC decoder and map to SKU/GTIN if real
A02A061028A201223A021002,5,2026-04-28 21:49:33.392927,2026-05-14 19:03:42.789787,-46,False,Review with EPC decoder and map to SKU/GTIN if real
A02A061028A201515A020802,5,2026-04-28 21:49:33.377740,2026-05-14 19:03:43.060862,-50,False,Review with EPC decoder and map to SKU/GTIN if real
A02A061028A201516A020902,5,2026-04-28 21:49:33.382257,2026-05-14 19:03:42.787120,-47,False,Review with EPC decoder and map to SKU/GTIN if real
A02A061028A201517A021002,5,2026-04-28 21:49:33.472483,2026-05-14 19:03:42.891881,-51,False,Review with EPC decoder and map to SKU/GTIN if real
A02A061028A201536A021902,5,2026-04-28 21:49:33.414953,2026-05-14 19:03:43.316358,-55,False,Review with EPC decoder and map to SKU/GTIN if real
A02A061028A201537A022002,5,2026-04-28 21:49:33.411899,2026-05-14 19:03:43.058015,-51,False,Review with EPC decoder and map to SKU/GTIN if real
A02A061028A201557A020802,5,2026-04-28 21:49:33.391564,2026-05-14 19:03:42.771541,-31,False,Review with EPC decoder and map to SKU/GTIN if real
A02A061028A201632A021902,5,2026-04-28 21:49:33.382964,2026-05-14 19:03:42.943131,-47,False,Review with EPC decoder and map to SKU/GTIN if real
A02A061028A201634A022002,5,2026-04-28 21:49:33.388874,2026-05-14 19:03:42.788089,-50,False,Review with EPC decoder and map to SKU/GTIN if real
A02A061028A201638A020102,5,2026-04-28 21:49:33.383666,2026-05-14 19:03:42.882013,-47,False,Review with EPC decoder and map to SKU/GTIN if real
A02A061028A201640A020802,5,2026-04-28 21:49:33.387472,2026-05-14 19:03:42.777020,-33,False,Review with EPC decoder and map to SKU/GTIN if real
A02A061028A201641A020902,5,2026-04-28 21:49:33.381158,2026-05-14 19:03:42.770209,-36,False,Review with EPC decoder and map to SKU/GTIN if real
A02A061028A201659A021802,5,2026-04-28 21:49:33.379941,2026-05-14 19:03:42.745003,-32,False,Review with EPC decoder and map to SKU/GTIN if real
A02A061028A201700A021902,5,2026-04-28 21:49:33.384347,2026-05-14 19:03:42.781386,-35,False,Review with EPC decoder and map to SKU/GTIN if real
A02A061028A201701A022002,5,2026-04-28 21:49:33.458089,2026-05-14 19:03:42.938284,-53,False,Review with EPC decoder and map to SKU/GTIN if real
